Unnamed: 0,EE Name,EE username,SUP NAME,SUP username,EE Email,EE Job Title
45,"Lopez, Fiona",flopez,"Domingo, Xena",xdomingo,flopez@example.com,"(job title placeholder, update sheet)"
46,"Garcia, Luca",lgarcia,"Domingo, Xena",xdomingo,lgarcia@example.com,"(job title placeholder, update sheet)"
47,"Ibarra, Vince",vibarra,"Xavier, Vince",vxavier,vibarra@example.com,"(job title placeholder, update sheet)"
48,"Velasco, Wesley",wvelasco,"Xavier, Vince",vxavier,wvelasco@example.com,"(job title placeholder, update sheet)"
49,"Cruz, Uma",ucruz,"Xavier, Vince",vxavier,ucruz@example.com,"(job title placeholder, update sheet)"
50,"Uy, Tomas",tuy,"Xavier, Vince",vxavier,tuy@example.com,"(job title placeholder, update sheet)"
51,"Ramirez, Fiona",framirez,"Xavier, Vince",vxavier,framirez@example.com,"(job title placeholder, update sheet)"
52,"Hernandez, Xena",xhernandez,"Xavier, Vince",vxavier,xhernandez@example.com,"(job title placeholder, update sheet)"
53,"Ortega, Fiona",fortega,"Xavier, Vince",vxavier,fortega@example.com,"(job title placeholder, update sheet)"
54,"Ibarra, Mira",mibarra,"Jimenez, Yasmin",yjimenez,mibarra@example.com,"(job title placeholder, update sheet)"
55,"Wong, Uma",uwong,"Jimenez, Yasmin",yjimenez,uwong@example.com,"(job title placeholder, update sheet)"
56,"Hernandez, Rafa",rhernandez,"Jimenez, Yasmin",yjimenez,rhernandez@example.com,"(job title placeholder, update sheet)"
57,"Klein, Vince",vklein,"Jimenez, Yasmin",yjimenez,vklein@example.com,"(job title placeholder, update sheet)"
58,"Yap, Yasmin",yyap,"Jimenez, Yasmin",yjimenez,yyap@example.com,"(job title placeholder, update sheet)"
59,"Hernandez, Bea",bhernandez,"Jimenez, Yasmin",yjimenez,bhernandez@example.com,"(job title placeholder, update sheet)"
60,"Zamora, Bea",bzamora,"Hernandez, Caleb",chernandez,bzamora@example.com,"(job title placeholder, update sheet)"
61,"Mendoza, Kieran",kmendoza,"Hernandez, Caleb",chernandez,kmendoza@example.com,"(job title placeholder, update sheet)"
62,"Cruz, Isaac",icruz,"Hernandez, Caleb",chernandez,icruz@example.com,"(job title placeholder, update sheet)"
63,"Santos, Gio",gsantos,"Hernandez, Caleb",chernandez,gsantos@example.com,"(job title placeholder, update sheet)"
64,"Klein, Wesley",wklein,"Hernandez, Caleb",chernandez,wklein@example.com,"(job title placeholder, update sheet)"
65,"Uy, Gio",guy,"Hernandez, Caleb",chernandez,guy@example.com,"(job title placeholder, update sheet)"
66,"Mendoza, Pia",pmendoza,"Mendoza, Daria",dmendoza,pmendoza@example.com,"(job title placeholder, update sheet)"
67,"Ortega, Uma",uortega,"Mendoza, Daria",dmendoza,uortega@example.com,"(job title placeholder, update sheet)"
68,"Ibarra, Ephraim",eibarra,"Mendoza, Daria",dmendoza,eibarra@example.com,"(job title placeholder, update sheet)"
69,"Hernandez, Ephraim",ehernandez,"Mendoza, Daria",dmendoza,ehernandez@example.com,"(job title placeholder, update sheet)"
70,"Ramirez, Xena",xramirez,"Mendoza, Daria",dmendoza,xramirez@example.com,"(job title placeholder, update sheet)"
71,"Ibarra, Rafa",ribarra,"Ortega, Isaac",iortega,ribarra@example.com,"(job title placeholder, update sheet)"
72,"Santos, Xena",xsantos,"Ortega, Isaac",iortega,xsantos@example.com,"(job title placeholder, update sheet)"
73,"Santos, Noemi",nsantos,"Ortega, Isaac",iortega,nsantos@example.com,"(job title placeholder, update sheet)"
74,"Lopez, Mira",mlopez,"Ortega, Isaac",iortega,mlopez@example.com,"(job title placeholder, update sheet)"
75,"Estrada, Helena",hestrada2,"Ortega, Isaac",iortega,hestrada2@example.com,"(job title placeholder, update sheet)"
76,"Perez, Quentin",qperez,"Ibarra, Vince",vibarra,qperez@example.com,"(job title placeholder, update sheet)"
77,"Yap, Caleb",cyap,"Ibarra, Vince",vibarra,cyap@example.com,"(job title placeholder, update sheet)"
78,"Domingo, Bea",bdomingo,"Ibarra, Vince",vibarra,bdomingo@example.com,"(job title placeholder, update sheet)"
79,"Uy, Ephraim",euy,"Ibarra, Vince",vibarra,euy@example.com,"(job title placeholder, update sheet)"
80,"Zamora, Fiona",fzamora,"Ibarra, Vince",vibarra,fzamora@example.com,"(job title placeholder, update sheet)"
81,"Navarro, Vince",vnavarro,"Ibarra, Vince",vibarra,vnavarro@example.com,"(job title placeholder, update sheet)"
82,"Cruz, Tomas",tcruz,"Ibarra, Vince",vibarra,tcruz@example.com,"(job title placeholder, update sheet)"
83,"Mendoza, Mira",mmendoza,"Velasco, Wesley",wvelasco,mmendoza@example.com,"(job title placeholder, update sheet)"
84,"Ortega, Tomas",tortega,"Velasco, Wesley",wvelasco,tortega@example.com,"(job title placeholder, update sheet)"
85,"Ibarra, Quentin",qibarra,"Velasco, Wesley",wvelasco,qibarra@example.com,"(job title placeholder, update sheet)"
86,"Alvarez, Rafa",ralvarez,"Velasco, Wesley",wvelasco,ralvarez@example.com,"(job title placeholder, update sheet)"
87,"Xavier, Vince",vxavier2,"Velasco, Wesley",wvelasco,vxavier2@example.com,"(job title placeholder, update sheet)"
88,"Velasco, Daria",dvelasco,"Velasco, Wesley",wvelasco,dvelasco@example.com,"(job title placeholder, update sheet)"
89,"Yap, Rafa",ryap,"Cruz, Uma",ucruz,ryap@example.com,"(job title placeholder, update sheet)"
90,"Yap, Isaac",iyap,"Cruz, Uma",ucruz,iyap@example.com,"(job title placeholder, update sheet)"
91,"Klein, Uma",uklein,"Cruz, Uma",ucruz,uklein@example.com,"(job title placeholder, update sheet)"
92,"Jimenez, Daria",djimenez,"Cruz, Uma",ucruz,djimenez@example.com,"(job title placeholder, update sheet)"
93,"Fernandez, Noemi",nfernandez,"Cruz, Uma",ucruz,nfernandez@example.com,"(job title placeholder, update sheet)"
94,"Alvarez, Owen",oalvarez,"Uy, Tomas",tuy,oalvarez@example.com,"(job title placeholder, update sheet)"
95,"Xavier, Xena",xxavier,"Uy, Tomas",tuy,xxavier@example.com,"(job title placeholder, update sheet)"
96,"Quintos, Isaac",iquintos,"Uy, Tomas",tuy,iquintos@example.com,"(job title placeholder, update sheet)"
97,"Fernandez, Yasmin",yfernandez,"Uy, Tomas",tuy,yfernandez@example.com,"(job title placeholder, update sheet)"
98,"Domingo, Quentin",qdomingo,"Uy, Tomas",tuy,qdomingo@example.com,"(job title placeholder, update sheet)"
99,"Jimenez, Uma",ujimenez,"Ramirez, Fiona",framirez,ujimenez@example.com,"(job title placeholder, update sheet)"
100,"Quintos, Uma",uquintos,"Ramirez, Fiona",framirez,uquintos@example.com,"(job title placeholder, update sheet)"
101,"Garcia, Tomas",tgarcia,"Ramirez, Fiona",framirez,tgarcia@example.com,"(job title placeholder, update sheet)"
102,"Lopez, Ephraim",elopez,"Ramirez, Fiona",framirez,elopez@example.com,"(job title placeholder, update sheet)"
103,"Fernandez, Yasmin",yfernandez2,"Ramirez, Fiona",framirez,yfernandez2@example.com,"(job title placeholder, update sheet)"
104,"Yap, Rafa",ryap2,"Ramirez, Fiona",framirez,ryap2@example.com,"(job title placeholder, update sheet)"
105,"Alvarez, Quentin",qalvarez,"Hernandez, Xena",xhernandez,qalvarez@example.com,"(job title placeholder, update sheet)"
106,"Klein, Tomas",tklein,"Hernandez, Xena",xhernandez,tklein@example.com,"(job title placeholder, update sheet)"
107,"Alvarez, Pia",palvarez,"Hernandez, Xena",xhernandez,palvarez@example.com,"(job title placeholder, update sheet)"
108,"Lopez, Daria",dlopez,"Ortega, Fiona",fortega,dlopez@example.com,"(job title placeholder, update sheet)"
109,"Jimenez, Zeke",zjimenez,"Ortega, Fiona",fortega,zjimenez@example.com,"(job title placeholder, update sheet)"
110,"Bautista, Helena",hbautista,"Ortega, Fiona",fortega,hbautista@example.com,"(job title placeholder, update sheet)"
111,"Santos, Helena",hsantos,"Ortega, Fiona",fortega,hsantos@example.com,"(job title placeholder, update sheet)"
112,"Cruz, Caleb",ccruz,"Ortega, Fiona",fortega,ccruz@example.com,"(job title placeholder, update sheet)"
113,"Perez, Xena",xperez,"Xavier, Aiden",axavier,xperez@example.com,"(job title placeholder, update sheet)"
114,"Yap, Caleb",cyap2,"Xavier, Aiden",axavier,cyap2@example.com,"(job title placeholder, update sheet)"
115,"Yap, Rafa",ryap3,"Xavier, Aiden",axavier,ryap3@example.com,"(job title placeholder, update sheet)"
116,"Domingo, Wesley",wdomingo,"Xavier, Aiden",axavier,wdomingo@example.com,"(job title placeholder, update sheet)"
117,"Perez, Vince",vperez,"Cruz, Rafa",rcruz,vperez@example.com,"(job title placeholder, update sheet)"
118,"Fernandez, Rafa",rfernandez,"Cruz, Rafa",rcruz,rfernandez@example.com,"(job title placeholder, update sheet)"
119,"Quintos, Isaac",iquintos2,"Cruz, Rafa",rcruz,iquintos2@example.com,"(job title placeholder, update sheet)"
120,"Navarro, Tomas",tnavarro,"Cruz, Rafa",rcruz,tnavarro@example.com,"(job title placeholder, update sheet)"
121,"Ramirez, Gio",gramirez,"Cruz, Rafa",rcruz,gramirez@example.com,"(job title placeholder, update sheet)"
122,"Xavier, Yasmin",yxavier,"Navarro, Selene",snavarro,yxavier@example.com,"(job title placeholder, update sheet)"
123,"Garcia, Wesley",wgarcia,"Navarro, Selene",snavarro,wgarcia@example.com,"(job title placeholder, update sheet)"
124,"Jimenez, Wesley",wjimenez,"Navarro, Selene",snavarro,wjimenez@example.com,"(job title placeholder, update sheet)"
125,"Velasco, Mira",mvelasco,"Navarro, Selene",snavarro,mvelasco@example.com,"(job title placeholder, update sheet)"
126,"Lopez, Uma",ulopez2,"Navarro, Selene",snavarro,ulopez2@example.com,"(job title placeholder, update sheet)"
127,"Quintos, Owen",oquintos,"Alvarez, Bea",balvarez,oquintos@example.com,"(job title placeholder, update sheet)"
128,"Domingo, Owen",odomingo,"Alvarez, Bea",balvarez,odomingo@example.com,"(job title placeholder, update sheet)"
129,"Hernandez, Helena",hhernandez,"Alvarez, Bea",balvarez,hhernandez@example.com,"(job title placeholder, update sheet)"
130,"Klein, Caleb",cklein,"Alvarez, Bea",balvarez,cklein@example.com,"(job title placeholder, update sheet)"
131,"Santos, Aiden",asantos,"Alvarez, Bea",balvarez,asantos@example.com,"(job title placeholder, update sheet)"
132,"Hernandez, Rafa",rhernandez2,"Garcia, Caleb",cgarcia,rhernandez2@example.com,"(job title placeholder, update sheet)"
133,"Hernandez, Selene",shernandez,"Garcia, Caleb",cgarcia,shernandez@example.com,"(job title placeholder, update sheet)"
134,"Cruz, Aiden",acruz,"Garcia, Caleb",cgarcia,acruz@example.com,SE
135,"Uy, Wesley",wuy2,"Garcia, Caleb",cgarcia,wuy2@example.com,"(job title placeholder, update sheet)"
136,"Hernandez, Bea",bhernandez2,"Garcia, Caleb",cgarcia,bhernandez2@example.com,"(job title placeholder, update sheet)"
137,"Bautista, Caleb",cbautista2,"Garcia, Caleb",cgarcia,cbautista2@example.com,"(job title placeholder, update sheet)"
138,"Uy, Vince",vuy,"Santos, Luca",lsantos,vuy@example.com,"(job title placeholder, update sheet)"
139,"Mendoza, Bea",bmendoza,"Santos, Luca",lsantos,bmendoza@example.com,"(job title placeholder, update sheet)"
140,"Domingo, Uma",udomingo2,"Santos, Luca",lsantos,udomingo2@example.com,"(job title placeholder, update sheet)"
141,"Garcia, Pia",pgarcia,"Quintos, Helena",hquintos,pgarcia@example.com,"(job title placeholder, update sheet)"
142,"Estrada, Rafa",restrada,"Quintos, Helena",hquintos,restrada@example.com,"(job title placeholder, update sheet)"
143,"Santos, Xena",xsantos2,"Quintos, Helena",hquintos,xsantos2@example.com,"(job title placeholder, update sheet)"
144,"Perez, Selene",sperez,"Cruz, Mira",mcruz,sperez@example.com,"(job title placeholder, update sheet)"
145,"Zamora, Helena",hzamora,"Cruz, Mira",mcruz,hzamora@example.com,"(job title placeholder, update sheet)"
146,"Zamora, Pia",pzamora,"Cruz, Mira",mcruz,pzamora@example.com,"(job title placeholder, update sheet)"
147,"Garcia, Noemi",ngarcia,"Cruz, Mira",mcruz,ngarcia@example.com,"(job title placeholder, update sheet)"
148,"Domingo, Daria",ddomingo,"Cruz, Mira",mcruz,ddomingo@example.com,"(job title placeholder, update sheet)"
149,"Navarro, Vince",vnavarro2,"Jimenez, Rafa",rjimenez,vnavarro2@example.com,"(job title placeholder, update sheet)"
150,"Navarro, Luca",lnavarro,"Jimenez, Rafa",rjimenez,lnavarro@example.com,"(job title placeholder, update sheet)"
151,"Ortega, Noemi",nortega,"Jimenez, Rafa",rjimenez,nortega@example.com,"(job title placeholder, update sheet)"
152,"Bautista, Xena",xbautista,"Jimenez, Rafa",rjimenez,xbautista@example.com,"(job title placeholder, update sheet)"
153,"Uy, Vince",vuy,"Torres, Uma",utorres,vuy@example.com,"(job title placeholder, update sheet)"
154,"Domingo, Uma",udomingo2,"Torres, Uma",utorres,udomingo2@example.com,"(job title placeholder, update sheet)"
155,"Mendoza, Bea",bmendoza,"Torres, Uma",utorres,bmendoza@example.com,"(job title placeholder, update sheet)"
157,"Klein, Xena",xklein,"Avondo, Charade",cavondo,xklein@example.com,Operations Manager
158,"Domingo, Zeke",zdomingo,"Klein, Xena",xklein,zdomingo@example.com,Division Manager
159,"Garcia, Helena",hgarcia,"Klein, Xena",xklein,hgarcia@example.com,Division Manager
160,"Ramirez, Gio",gramirez2,"Domingo, Zeke",zdomingo,gramirez2@example.com,Section Supervisor
161,"Estrada, Owen",oestrada,"Domingo, Zeke",zdomingo,oestrada@example.com,Section Supervisor
162,"Fernandez, Noemi",nfernandez2,"Klein, Xena",xklein,nfernandez2@example.com,Section Supervisor
163,"Ortega, Isaac",iortega2,"Domingo, Zeke",zdomingo,iortega2@example.com,Section Supervisor
164,"Cruz, Helena",hcruz,"Ortega, Isaac",iortega2,hcruz@example.com,Unit Supervisor
165,"Zamora, Owen",ozamora,"Ortega, Isaac",iortega2,ozamora@example.com,Senior DE
166,"Domingo, Rafa",rdomingo2,"Ortega, Isaac",iortega2,rdomingo2@example.com,Senior DE
167,"Uy, Bea",buy,"Klein, Xena",xklein,buy@example.com,Staff DE
168,"Alvarez, Rafa",ralvarez2,"Ortega, Isaac",iortega2,ralvarez2@example.com,Senior DE
169,"Yap, Caleb",cyap3,"Ortega, Isaac",iortega2,cyap3@example.com,Senior DE
170,"Fernandez, Helena",hfernandez,"Garcia, Helena",hgarcia,hfernandez@example.com,Section Supervisor
171,"Perez, Noemi",nperez,"Fernandez, Helena",hfernandez,nperez@example.com,Senior DE
172,"Garcia, Pia",pgarcia2,"Fernandez, Noemi",nfernandez2,pgarcia2@example.com,DE
173,"Bautista, Mira",mbautista,"Estrada, Owen",oestrada,mbautista@example.com,DE
174,"Mendoza, Fiona",fmendoza,"Cruz, Helena",hcruz,fmendoza@example.com,DE
175,"Mendoza, Aiden",amendoza,"Garcia, Helena",hgarcia,amendoza@example.com,Senior DE
176,"Zamora, Isaac",izamora2,"Ramirez, Gio",gramirez2,izamora2@example.com,DE
177,"Ortega, Zeke",zortega,"Ramirez, Gio",gramirez2,zortega@example.com,DE
178,"Navarro, Janelle",jnavarro,"Estrada, Owen",oestrada,jnavarro@example.com,DE
179,"Xavier, Wesley",wxavier,"Estrada, Owen",oestrada,wxavier@example.com,DE
180,"Ramirez, Zeke",zramirez,"Garcia, Helena",hgarcia,zramirez@example.com,DE
181,"Wong, Vince",vwong,"Domingo, Rafa",rdomingo2,vwong@example.com,Junior DE
182,"Estrada, Pia",pestrada,"Bautista, Mira",mbautista,pestrada@example.com,Junior DE
183,"Jimenez, Gio",gjimenez,"Cruz, Helena",hcruz,gjimenez@example.com,Junior DE
184,"Bautista, Gio",gbautista,"Navarro, Janelle",jnavarro,gbautista@example.com,Junior DE
185,"Xavier, Selene",sxavier,"Bautista, Mira",mbautista,sxavier@example.com,Junior DE
186,"Bautista, Rafa",rbautista,"Domingo, Zeke",zdomingo,rbautista@example.com,Junior DE
187,"Klein, Xena",xklein2,"Velasco, Gio",gvelasco,xklein2@example.com,DE
188,"Bautista, Bea",bbautista,"Bautista, Mira",mbautista,bbautista@example.com,Junior DE
189,"Perez, Selene",sperez2,"Alvarez, Rafa",ralvarez2,sperez2@example.com,DE
190,"Quintos, Quentin",qquintos,"Velasco, Gio",gvelasco,qquintos@example.com,Junior DE
191,"Bautista, Fiona",fbautista,"Cruz, Helena",hcruz,fbautista@example.com,Junior DE
192,"Cruz, Quentin",qcruz,"Ramirez, Gio",gramirez2,qcruz@example.com,Junior DE
193,"Cruz, Fiona",fcruz,"Ramirez, Gio",gramirez2,fcruz@example.com,DE
194,"Cruz, Tomas",tcruz2,"Navarro, Janelle",jnavarro,tcruz2@example.com,Junior DE
195,"Hernandez, Vince",vhernandez2,"Cruz, Helena",hcruz,vhernandez2@example.com,Junior DE
196,"Domingo, Mira",mdomingo2,"Mendoza, Aiden",amendoza,mdomingo2@example.com,Junior DE
197,"Hernandez, Selene",shernandez2,"Bautista, Mira",mbautista,shernandez2@example.com,DE
198,"Torres, Selene",storres,"Klein, Xena",xklein,storres@example.com,Unit Supervisor
199,"Torres, Bea",btorres,"Fernandez, Helena",hfernandez,btorres@example.com,Junior DE
200,"Navarro, Caleb",cnavarro,"Alvarez, Rafa",ralvarez2,cnavarro@example.com,DE
201,"Santos, Vince",vsantos,"Mendoza, Aiden",amendoza,vsantos@example.com,Junior DE
202,"Quintos, Selene",squintos,"Navarro, Janelle",jnavarro,squintos@example.com,Junior DE
203,"Ibarra, Kieran",kibarra2,"Fernandez, Noemi",nfernandez2,kibarra2@example.com,Junior DE
204,"Velasco, Gio",gvelasco,"Garcia, Helena",hgarcia,gvelasco@example.com,DE
205,"Klein, Wesley",wklein2,"Velasco, Gio",gvelasco,wklein2@example.com,"(job title placeholder, update sheet)"
206,"Ibarra, Helena",hibarra,"Fernandez, Noemi",nfernandez2,hibarra@example.com,Junior DE
207,"Estrada, Mira",mestrada,"Fernandez, Noemi",nfernandez2,mestrada@example.com,Junior DE
208,"Uy, Vince",vuy2,"Fernandez, Noemi",nfernandez2,vuy2@example.com,Junior DE
209,"Ortega, Janelle",jortega,"Domingo, Rafa",rdomingo2,jortega@example.com,Junior DE
210,"Yap, Kieran",kyap,"Mendoza, Aiden",amendoza,kyap@example.com,Junior DE
211,"Alvarez, Caleb",calvarez,"Bautista, Mira",mbautista,calvarez@example.com,Senior DE
212,"Torres, Owen",otorres,"Fernandez, Noemi",nfernandez2,otorres@example.com,Staff DE
213,"Domingo, Selene",sdomingo,"Fernandez, Noemi",nfernandez2,sdomingo@example.com,Staff DE
214,"Ramirez, Caleb",cramirez,"Navarro, Janelle",jnavarro,cramirez@example.com,DE
215,"Quintos, Gio",gquintos,"Fernandez, Noemi",nfernandez2,gquintos@example.com,Junior LE
216,"Estrada, Isaac",iestrada,"Fernandez, Noemi",nfernandez2,iestrada@example.com,Junior LE
217,"Cruz, Luca",lcruz,"Fernandez, Noemi",nfernandez2,lcruz@example.com,Junior LE
218,"Lopez, Helena",hlopez,"Fernandez, Helena",hfernandez,hlopez@example.com,Junior LE
219,"Fernandez, Janelle",jfernandez,"Fernandez, Helena",hfernandez,jfernandez@example.com,Junior LE
220,"Ramirez, Owen",oramirez,"Velasco, Gio",gvelasco,oramirez@example.com,Junior LE
221,"Jimenez, Wesley",wjimenez2,"Ramirez, Gio",gramirez2,wjimenez2@example.com,Junior LE
222,"Zamora, Tomas",tzamora,"Navarro, Janelle",jnavarro,tzamora@example.com,Junior LE
223,"Quintos, Uma",uquintos2,"Ramirez, Gio",gramirez2,uquintos2@example.com,Junior LE
224,"Velasco, Aiden",avelasco,"Mendoza, Aiden",amendoza,avelasco@example.com,Junior DE
225,"Jimenez, Rafa",rjimenez2,"Velasco, Gio",gvelasco,rjimenez2@example.com,"(job title placeholder, update sheet)"
226,"Domingo, Vince",vdomingo,"Mendoza, Aiden",amendoza,vdomingo@example.com,"(job title placeholder, update sheet)"
228,"Ibarra, Ephraim",eibarra2,"Avondo, Charade",cavondo,eibarra2@example.com,Operations Manager
229,"Domingo, Daria",ddomingo2,"Ibarra, Ephraim",eibarra2,ddomingo2@example.com,
230,"Ramirez, Xena",xramirez2,"Ibarra, Ephraim",eibarra2,xramirez2@example.com,
231,"Ibarra, Ephraim",eibarra3,"Domingo, Daria",ddomingo2,eibarra3@example.com,"(job title placeholder, update sheet)"
232,"Torres, Janelle",jtorres,"Domingo, Daria",ddomingo2,jtorres@example.com,"(job title placeholder, update sheet)"
233,"Wong, Gio",gwong2,"Ramirez, Xena",xramirez2,gwong2@example.com,"(job title placeholder, update sheet)"
234,"Garcia, Kieran",kgarcia,"Wong, Gio",gwong2,kgarcia@example.com,"(job title placeholder, update sheet)"
235,"Uy, Vince",vuy3,"Wong, Gio",gwong2,vuy3@example.com,"(job title placeholder, update sheet)"
236,"Quintos, Isaac",iquintos3,"Ibarra, Ephraim",eibarra3,iquintos3@example.com,"(job title placeholder, update sheet)"
237,"Ibarra, Pia",pibarra,"Torres, Janelle",jtorres,pibarra@example.com,"(job title placeholder, update sheet)"
238,"Cruz, Bea",bcruz,"Torres, Janelle",jtorres,bcruz@example.com,"(job title placeholder, update sheet)"
239,"Navarro, Uma",unavarro,"Wong, Gio",gwong2,unavarro@example.com,"(job title placeholder, update sheet)"
240,"Bautista, Isaac",ibautista,"Avondo, Charade",cavondo,ibautista@example.com,Admin Manager
241,"Klein, Aiden",aklein,"Bautista, Isaac",ibautista,aklein@example.com,"(job title placeholder, update sheet)"
242,"Estrada, Yasmin",yestrada,"Bautista, Isaac",ibautista,yestrada@example.com,"(job title placeholder, update sheet)"
243,"Ibarra, Uma",uibarra,"Avondo, Charade",cavondo,uibarra@example.com,"(job title placeholder, update sheet)"
244,"Xavier, Fiona",fxavier,"Ibarra, Uma",uibarra,fxavier@example.com,"(job title placeholder, update sheet)"
245,"Ramirez, Owen",oramirez2,"Ibarra, Uma",uibarra,oramirez2@example.com,"(job title placeholder, update sheet)"
246,"Navarro, Wesley",wnavarro2,"Ibarra, Uma",uibarra,wnavarro2@example.com,"(job title placeholder, update sheet)"
247,"Alvarez, Rafa",ralvarez3,"Avondo, Charade",cavondo,ralvarez3@example.com,TnD Manager
248,"Cruz, Daria",dcruz2,"Avondo, Charade",cavondo,dcruz2@example.com,FAD Manager
249,"Estrada, Wesley",westrada,"Cruz, Daria",dcruz2,westrada@example.com,"(job title placeholder, update sheet)"
250,"Bautista, Rafa",rbautista2,"Cruz, Daria",dcruz2,rbautista2@example.com,"(job title placeholder, update sheet)"
